international_flight	domestic_flight	
ill_nature	good_nature	
insecurity	security	
changelessness	changeableness	
uselessness	usefulness	
wrong	right	
mendacity	veracity	
friend	foe	
reversible_process	irreversible_process	
reverence	irreverence	
incorruptibility	corruptibility	
unskillfulness	skillfulness	
verboseness	terseness	
optimist	pessimist	
propitiousness	unpropitiousness	
tangibility	intangibility	
noblewoman	nobleman	
benignity	malignity	
bottom	top	
impracticability	practicability	
overgarment	undergarment	
put_option	call_option	
hopefulness	hopelessness	
draftee	volunteer	
visibility	invisibility	
influx	efflux	
lowercase	uppercase	
inconsequence	consequence	
instability	stability	
judiciousness	injudiciousness	
nonbeing	being	
motionlessness	motion	
mediacy	immediacy	
mercilessness	mercifulness	
being	nonbeing	
superiority	inferiority	
endogamy	exogamy	
marginality	centrality	
Lady	Lord	
staleness	freshness	
intelligibility	unintelligibility	
greenness	ripeness	
stoutheartedness	faintheartedness	
expectedness	unexpectedness	
cheerfulness	cheerlessness	uncheerfulness	
singular	plural	
skim_milk	whole_milk	
incapableness	capableness	
disembarkation	embarkation	
unimportance	importance	
unseemliness	seemliness	
untrustworthiness	trustworthiness	
synchronizing	desynchronizing	
agitation	calmness	
atonality	tonality	
noninterference	interference	
monosemy	polysemy	
waning	waxing	
confidence	diffidence	
comedy	tragedy	
uncleanliness	cleanliness	
inattentiveness	attentiveness	
female_sibling	male_sibling	
coherence	incoherence	
altruism	egoism	
appetizingness	unappetizingness	
irrelevance	relevance	
stator	rotor	
sharpness	softness	dullness	
unsteadiness	steadiness	
artificial_language	natural_language	
worth	worthlessness	
disreputability	reputability	
unexpectedness	expectedness	
stinginess	generosity	
poor_people	rich_people	
voltaic_cell	electrolytic_cell	
stillbirth	live_birth	
guilt	innocence	
immediacy	mediacy	
aunt	uncle	
unconscientiousness	conscientiousness	
downtime	uptime	
cooperation	competition	
colorlessness	color	
acceleration	deceleration	
night	day	
catalyst	anticatalyst	
insalubriousness	salubriousness	
centrality	marginality	
susceptibility	unsusceptibility	
allogamy	autogamy	
male_monarch	female_monarch	
leaded_gasoline	unleaded_gasoline	
market_economy	non-market_economy	
hypercapnia	hypocapnia	
death	birth	
falsehood	truth	
cathode	anode	
capability	incapability	
carefulness	carelessness	
piety	impiety	
intervention	nonintervention	
unlawfulness	lawfulness	
inactivation	activation	
poor	rich	
unselfconsciousness	self-consciousness	
foul_ball	fair_ball	
bull	bear	
unpointedness	pointedness	
volunteer	draftee	
hypotension	hypertension	
artfulness	artlessness	
dedicated_file_server	non-dedicated_file_server	
aphrodisia	anaphrodisia	
counterfactuality	factuality	
absence	presence	
territorial_waters	high_sea	international_waters	
solvency	insolvency	
unsusceptibility	susceptibility	
impracticableness	practicableness	
softness	loudness	sharpness	hardness	
silence	sound	
inauspiciousness	auspiciousness	
substantiality	insubstantiality	
materiality	immateriality	
unnaturalness	naturalness	
esteem	disesteem	
insignificance	significance	
low_spirits	high	
finiteness	infiniteness	
debtor	creditor	
varietal_wine	generic_wine	
gain	loss	
assortative_mating	disassortative_mating	
object_program	source_program	
valgus	varus	
stableness	unstableness	
loyalty	disloyalty	
disassembly	assembly	
hairlessness	hairiness	
symmetry	asymmetry	
armament	disarmament	
uncertainty	certainty	
inexpensiveness	expensiveness	
uncongeniality	congeniality	
failing	passing	
approbation	disapprobation	
perceptiveness	unperceptiveness	
spiny-finned_fish	soft-finned_fish	
cowardice	courage	
dead	living	
hereditarianism	environmentalism	
strengthening	weakening	
father	mother	
boy	girl	
frivolity	seriousness	
unconnectedness	connectedness	
disassortative_mating	assortative_mating	
hotness	coldness	
invariableness	variableness	
tribalization	detribalization	
decriminalization	criminalization	
custom-made	ready-made	
live_birth	stillbirth	
plausibility	implausibility	
dextrorotation	levorotation	
autogamy	allogamy	
estrus	anestrus	
composure	discomposure	
minimum	maximum	
rainy_season	dry_season	
comfort	discomfort	
prudence	imprudence	
sophistication	naivete	
dysgenics	eugenics	
tameness	wildness	
thereness	hereness	
unemotionality	emotionality	
international_law	civil_law	
consanguinity	affinity	
anode	cathode	
special_verdict	general_verdict	
easy_money	tight_money	
unsuitability	suitability	
normality	abnormality	
apoapsis	periapsis	
hyperkalemia	hypokalemia	
incompetence	competence	
pleasantness	unpleasantness	
impermissibility	permissibility	
soft_water	hard_water	
general_verdict	special_verdict	
good_humor	ill_humor	
conspicuousness	inconspicuousness	
payment	nonpayment	
perfection	imperfection	
mercifulness	mercilessness	
disarmament	armament	
starboard	larboard	
success	failure	
inaccessibility	accessibility	
nonconformity	conformity	
low_quality	high_quality	
augmentation	diminution	
intron	exon	
fatness	leanness	
denationalization	nationalization	
indistinctness	distinctness	
hardball	softball	
borrower	lender	
friendly	hostile	
experience	inexperience	
unemployment	employment	
perceptibility	imperceptibility	
springtide	neap_tide	
reputability	disreputability	
cacodemon	eudemon	
femininity	masculinity	
figure	ground	
naivete	sophistication	
unholiness	holiness	
usefulness	uselessness	
unleaded_gasoline	leaded_gasoline	
paper_profit	paper_loss	
embarkation	disembarkation	
cash	credit	
yea	nay	
direct_evidence	circumstantial_evidence	
complex_instruction_set_computer	reduced_instruction_set_computer	
immersion	emersion	
wet-bulb_thermometer	dry-bulb_thermometer	
unambiguity	ambiguity	
king	queen	
inconvenience	convenience	
attention	inattention	
precision	imprecision	
restraint	unrestraint	
hospitality	inhospitality	
permanence	impermanence	
passive_trust	active_trust	
perviousness	imperviousness	
pretentiousness	unpretentiousness	
roughness	smoothness	
superior	inferior	
priority	posteriority	
boarding_school	day_school	
off-season	high_season	
joy	sorrow	
generic_wine	varietal_wine	
repute	disrepute	
neap_tide	springtide	
impartiality	partiality	
ugliness	beauty	
wisdom	folly	
recto	verso	
heterocercal_fin	homocercal_fin	
affirmation	reversal	
morality	immorality	
classicist	romanticist	
classicism	Romanticism	
reversal	affirmation	
best	worst	
child	parent	
in-basket	out-basket	
coldness	hotness	
anabolism	catabolism	
despair	hope	
lay_witness	expert_witness	
front_burner	back_burner	
juvenile	adult	
liberal	conservative	
nondriver	driver	
cleanliness	uncleanliness	
worldliness	otherworldliness	
unbreakableness	breakableness	
acrocarp	pleurocarp	
insomnia	hypersomnia	
unprofitability	profitability	
future	past	
spoils_system	merit_system	
prescription_drug	over-the-counter_drug	
mortal_sin	venial_sin	
antapex	apex	
fairness	unfairness	
nonattendance	attendance	
gutsiness	gutlessness	
compliance	noncompliance	
bigness	littleness	
depigmentation	pigmentation	
incoordination	coordination	
yang	yin	
electrolytic_cell	voltaic_cell	
irreversible_process	reversible_process	
sensitiveness	insensitiveness	
untidiness	tidiness	
location	studio	
formalism	imitation	
hospitableness	inhospitableness	
supination	pronation	
competence	incompetence	
incorruptness	corruptness	
hope	despair	
disapprobation	approbation	
declassification	classification	
injustice	justice	
laity	clergy	
rest_day	workday	
unseasonableness	seasonableness	
clergyman	layman	
cash_account	margin_account	
doctrine_of_analogy	cataphatism	apophatism	
liveborn_infant	stillborn_infant	
likeliness	unlikeliness	
inhospitality	hospitality	
slave_state	free_state	
ascent	descent	
snail_mail	e-mail	email	electronic_mail	
truthfulness	untruthfulness	
unexchangeability	exchangeability	
untimeliness	timeliness	
high_status	low_status	
disadvantage	advantage	
appropriateness	inappropriateness	
generosity	stinginess	
effortfulness	effortlessness	
power	powerlessness	
purposefulness	purposelessness	
infelicity	felicity	
palingenesis	cenogenesis	
fixed-width_font	proportional_font	
misconception	conception	
purity	impurity	
achromatic_color	chromatic_color	
immortality	mortality	
solubility	insolubility	
incorporeality	corporeality	
disassociation	association	
irreversibility	reversibility	
sunset	sunrise	
relatedness	unrelatedness	
serial_operation	parallel_operation	
finish	start	
rear	front	head	
uppercase	lowercase	
conservative	liberal	
hyperglycemia	hypoglycemia	
credibility	incredibility	
unsociability	sociability	
unpleasantness	pleasantness	
cleanness	dirtiness	
weakening	strengthening	
approachability	unapproachability	
healthfulness	unhealthfulness	
foot	head	
unpropitiousness	propitiousness	
unrespectability	respectability	
gutlessness	gutsiness	
angularity	roundness	
probability	improbability	
exchangeability	unexchangeability	
cheerlessness	cheerfulness	
decontamination	contamination	
nonparticipation	participation	
flexor	extensor	
lowness	highness	
tastelessness	tastefulness	
overachievement	underachievement	
northernness	southernness	
inhibitor	activator	
exclusion	inclusion	
immovability	movability	
diapsid	anapsid	
infallibility	fallibility	
home_game	away_game	
evolution	devolution	
approval	disapproval	
addition	subtraction	
efflux	influx	
good_part	weak_part	
expansion	contraction	
impurity	purity	
reversibility	irreversibility	
activation	inactivation	deactivation	
vulnerability	invulnerability	
whole_milk	skim_milk	
stupidity	intelligence	
soberness	drunkenness	
brightness	dullness	
inflow	outflow	
inconsistency	consistency	
immutability	mutability	
fertility	infertility	
artlessness	artfulness	
pain	pleasure	
distrust	trust	
email	snail_mail	
partiality	impartiality	
stability	instability	
disinflation	inflation	deflation	
diving_duck	dabbling_duck	
brand-name_drug	generic_drug	
negative_charge	positive_charge	
unorthodoxy	orthodoxy	
middle	end	beginning	
commonality	individuality	
opacity	clarity	transparency	
unpopularity	popularity	
liar	square_shooter	
eremite	cenobite	
sadist	masochist	
general_agent	special_agent	
clergy	laity	
smart_bomb	dumb_bomb	
existence	nonexistence	
satisfactoriness	unsatisfactoriness	
conscientiousness	unconscientiousness	
supply	demand	
openness	closeness	
destabilization	stabilization	
dishonesty	honesty	
alignment	nonalignment	
integration	segregation	
dystopia	utopia	
anaphrodisia	aphrodisia	
earliness	lateness	
chromatic_color	achromatic_color	
insufficiency	sufficiency	
invulnerability	vulnerability	
asynchronous_operation	synchronous_operation	
unrighteousness	righteousness	
equilibrium	disequilibrium	
fallibility	infallibility	
passing	failing	
winter_solstice	summer_solstice	
plantigrade_mammal	digitigrade_mammal	
citizen	noncitizen	
improperness	properness	
impermanence	permanence	
nonresident	resident	
orthodoxy	unorthodoxy	
incognizance	cognizance	
end	middle	beginning	
unscrupulousness	scrupulousness	
inessential	essential	
victory	defeat	
nonexistence	existence	
euphoria	dysphoria	
nonpartisan	partisan	
elegance	inelegance	
effectiveness	ineffectiveness	
capacity	incapacity	
contamination	decontamination	
sleepiness	wakefulness	
subordination	insubordination	
hairiness	hairlessness	
head	foot	tail	rear	
leanness	fatness	
unequivocalness	equivocalness	
obtuseness	acuteness	
depreciation	appreciation	
variability	invariability	
hard_drug	soft_drug	
admissibility	inadmissibility	
explicitness	inexplicitness	
longness	shortness	
inexactness	exactness	
color	colorlessness	
indestructibility	destructibility	
corpuscular_theory_of_light	wave_theory_of_light	
congeniality	uncongeniality	
criminalisation	decriminalisation	
eligibility	ineligibility	
imitation	formalism	
insensibility	sensibility	
boldness	timidity	
heaviness	lightness	
antonym	synonym	
activity	inactivity	
dysphemism	euphemism	
disunion	union	
repulsion	attraction	
fruitlessness	fruitfulness	
CISC	RISC	
export	import	
one-dimensional_language	multidimensional_language	
lowland	highland	
immutableness	mutableness	
tastefulness	tastelessness	
carinate	ratite	
nonsingular_matrix	singular_matrix	
improvidence	providence	
sincerity	insincerity	
reentrant_angle	salient_angle	
ambiversion	extraversion	introversion	
animateness	inanimateness	
member	nonmember	
loser	achiever	winner	
extension	flexion	
Athanasianism	Arianism	
scrupulousness	unscrupulousness	
female_aristocrat	male_aristocrat	
persuasiveness	unpersuasiveness	
unearned_run	earned_run	
clarity	opacity	obscurity	
foreignness	nativeness	
worker	nonworker	
right_triangle	oblique_triangle	
inpatient	outpatient	
solvability	unsolvability	
classification	declassification	
nonmember	member	
inside	outside	
benignancy	malignancy	
wetness	dryness	
cultivated_plant	weed	
dumb_bomb	smart_bomb	
disrepute	repute	
incredibility	credibility	
incompressibility	compressibility	
descending_node	ascending_node	
impalpability	palpability	
desynchronization	synchronization	
folly	wisdom	
merit	demerit	
active_voice	passive_voice	
uninitiate	initiate	
conception	misconception	
natural_object	artifact	
radial_symmetry	radial_asymmetry	
pluralism	monism	
polyphony	monophony	
varus	valgus	
oblique_triangle	right_triangle	
sitter	stander	
effortlessness	effortfulness	
belief	unbelief	
misogyny	philogyny	
niceness	nastiness	
centripetal_force	centrifugal_force	
dovishness	hawkishness	
diminution	augmentation	
verso	recto	
hardness	softness	
stabilisation	destabilisation	
breakableness	unbreakableness	
illogicalness	logicalness	
prosecution	defense	
inaccuracy	accuracy	
uncreativeness	creativeness	
unpretentiousness	pretentiousness	
illegibility	legibility	
split_ticket	straight_ticket	
hawk	dove	
affectedness	unaffectedness	
truth	falsehood	falsity	
gratitude	ingratitude	
inhumaneness	humaneness	
indecisiveness	decisiveness	
audibility	inaudibility	
sanity	insanity	
capableness	incapableness	
steadiness	unsteadiness	
corruptibility	incorruptibility	
obscurity	clarity	prominence	
software	hardware	
unfavorableness	favorableness	
productiveness	unproductiveness	
daughter	son	
absorbency	nonabsorbency	
special_agent	general_agent	
infield	outfield	
negative	affirmative	
transparency	opacity	
surface_ship	submersible	
centrifugal_force	centripetal_force	
corpuscular_theory	wave_theory	
imprecision	precision	
apolune	perilune	
unproductiveness	productiveness	
properness	improperness	
disloyalty	loyalty	
love	hate	
dependableness	undependableness	
engagement	non-engagement	
dispensability	indispensability	
uncle	aunt	
unconcern	concern	
fat_person	thin_person	
unloading	loading	
retreat	advance	
lumper	splitter	
porosity	solidity	
anisotropy	isotropy	
scarcity	abundance	
beneficence	maleficence	
increase	decrease	
civil_law	international_law	
cold_war	hot_war	
universal_proposition	particular_proposition	
aliquot	aliquant	
homozygosity	heterozygosity	
zenith	nadir	
unalterability	alterability	
sadness	happiness	
reliability	unreliability	
thickness	thinness	
negativeness	positiveness	
trustworthiness	untrustworthiness	
unhealthfulness	healthfulness	
tonality	atonality	
cooking_apple	eating_apple	
popularity	unpopularity	
skillfulness	unskillfulness	
decisiveness	indecisiveness	
preciseness	impreciseness	
