fawn	dun.n.02	fawn.n.02	
nunnery	nunnery.n.01	
long_wave	long_wave.n.01	
gag	joke.n.01	gag.n.02	
circuitry	circuitry.n.01	
xerophthalmus	xerophthalmia.n.01	
hanging	hanging.n.02	suspension.n.06	hanging.n.01	
Nampa	nampa.n.01	
Ursus_middendorffi	alaskan_brown_bear.n.01	
abductor_muscle	abductor.n.02	
Dryopteris_oreades	mountain_male_fern.n.01	
Anemone_virginiana	virginia_thimbleweed.n.01	
Haliotis	haliotis.n.01	
genus_Lycium	lycium.n.01	
gab	chitchat.n.01	
queer_duck	kook.n.01	
order_Apodiformes	apodiformes.n.01	
trial_and_error	trial_and_error.n.01	
Western	western.n.01	western.n.02	
range_pole	range_pole.n.01	
crossbar	crossbar.n.02	crossbar.n.03	crossbar.n.01	
meadow_leek	canada_garlic.n.01	
bioclimatology	bioclimatology.n.01	
Siberian_husky	siberian_husky.n.01	
Oriental_arborvitae	oriental_arborvitae.n.01	
thermodynamics_of_equilibrium	thermostatics.n.01	
black_pepper	black_pepper.n.02	pepper.n.01	
genus_Poronotus	poronotus.n.01	
pigment	pigment.n.02	paint.n.01	pigment.n.01	
satin_bowerbird	satin_bowerbird.n.01	
transvestism	transvestism.n.01	
fourth_power	biquadrate.n.01	
phylum_Sipuncula	sipuncula.n.01	
Convolvulus_scammonia	scammony.n.03	
Luther_Burbank	burbank.n.01	
bringing	delivery.n.01	
Peristedion	peristedion.n.01	
Musa_textilis	abaca.n.02	
lithiasis	lithiasis.n.01	
simple_interest	simple_interest.n.01	
Adriatic_Sea	adriatic.n.01	
international_flight	international_flight.n.01	
razor_edge	razor_edge.n.01	
big-bud_hickory	mockernut.n.01	
pitch_blackness	total_darkness.n.01	
Torreya_californica	california_nutmeg.n.01	
atomic_number_88	radium.n.01	
atomic_number_89	actinium.n.01	
woods	woodwind.n.01	forest.n.01	wood.n.03	wood.n.01	wood.n.06	wood.n.04	wood.n.05	wood.n.08	
crotch	fork.n.03	genitalia.n.01	crotch.n.02	
Paul_Ehrlich	ehrlich.n.01	
Hylobatidae	hylobatidae.n.01	
atomic_number_82	lead.n.02	
atomic_number_83	bismuth.n.01	
atomic_number_84	polonium.n.01	
atomic_number_85	astatine.n.01	
cervical_glands	cervical_glands.n.01	
atomic_number_87	francium.n.01	
wild_ass	wild_ass.n.01	
policy_maker	policy_maker.n.01	
dairy_product	dairy_product.n.01	
Raphanus_raphanistrum	jointed_charlock.n.01	
desiccant	desiccant.n.01	
second_childhood	dotage.n.01	
order_Anacanthini	anacanthini.n.01	
cytotoxic_T_cell	killer_t_cell.n.01	
jamjar	jampot.n.01	
seven_iron	mashie_niblick.n.01	
prosody	poetic_rhythm.n.01	prosody.n.01	prosody.n.03	
genus_Stizolobium	genus_mucuna.n.01	
baddie	villain.n.02	
Sceloporus	sceloporus.n.01	
Adapid_group	adapid.n.01	
Seyhan	adana.n.01	seyhan.n.01	
salsify	salsify.n.03	salsify.n.02	salsify.n.01	
warmongering	warmongering.n.01	
Hamilton	hamilton.n.03	hamilton.n.02	hamilton.n.01	hamilton.n.06	hamilton.n.05	hamilton.n.04	
nematode_worm	nematode.n.01	
designing	design.n.01	
white_spruce	white_spruce.n.01	
numeral	numeral.n.01	
ill_nature	ill_nature.n.01	
Croat	croatian.n.01	
Dolichotis_patagonum	mara.n.02	
flying_buttress	flying_buttress.n.01	
Tamarindus	tamarindus.n.01	
right_hemisphere	right_hemisphere.n.01	
evolutionist	evolutionist.n.01	
Populus_grandidentata	canadian_aspen.n.01	
